Review,Sentiment
The course is poorly organised: There is a project on week one that requires knowledges of week two. Some concepts are dictated more than once because it uses videos made for this course + other recorded from a class room. I think this course should be a 3 weeks project and the price should be the half of it cost. Though I enjoyed the second project.,Negative
"To be honest, I couldn't realize why this had to be an entire seminar on its own. Apart from",Negative
"Interesting material and good teacher but very poor use of the media (an audio file would have been sufficient for most lectures) and low quality recording for some lectures (background noises, echos, wind...)",Negative
"The quality of the presentation is very low, and way below the quality in other courses.",Negative
"I would suggest to remake the lessons. The speech by the author is very interesting, but the images are a bit poor (and boring) in the sense of not completing to much their explainations.",Negative
poor!,Negative
Very poor in all aspects.,Negative
"No technical staff around to help, only one or two examples of how the math works, and a general poor explanation of the concepts.",Negative
The least comprehensive course I ever took. It needs very good prerequisite about computer vision.,Negative
Very poor course. Not at all academically rigorous. Just a bunch of common sense statements.,Negative
The programming assignments however lack instructions and the online judgement system has some strange requests which are not illustrated in the instruction.,Negative
"Difficult to understand the professor, and slides were hard to read",Negative
I dont like how this course was presented. The professors are good but the way how they present the course is extremely inefficient.,Negative
"the only problem i have with this course and the others in this specialization is that the instructors think we are all employed people, leaders, and we are responsible for a team.",Negative
Learning materials are poorly delivered.,Negative
Extremely poor help and feedback. Almost no replies on discussion forums,Negative
This course needs an easier way to peer review.,Negative
This one was much tougher than the previous two courses.,Negative
It is hard to be constructive when you do have something brilliant to compare with.,Negative
Forums were poorly organized and not well participated in.,Negative
The quality of videos was pretty poor. The question and answer format of discussion was not a great idea (might have been great for kids videos).,Negative
Good overview with interview,Positive
I think the course /whole specialization is really good.,Positive
Very good Content and Well Delivered.,Positive
Very useful overview course. Goes into good explanations on difficult to understand concepts.,Positive
Pretty good course that introduces a lot of useful tools and the concept of reproduciblity.,Positive
good course. I will recommend it for everyone.,Positive
"Course is generall very good and lots of fun! 2 things i would change: ... the Assignment 1 is too early in the course or the Lectures are disordered, but I needed the second and third week material to do the first weeks assignment.",Positive
The content is good but the contents have a lot of overlap.,Positive
"Great class with excellent supporting material. A little chaotic, but very good overall.",Positive
"Overall a good course for self-study. The assignments in particular are excellent for data cleaning, analysis and interpretation.",Positive
I very much enjoyed this course.,Positive
I really liked the structure of the lesson plan and the individual lectures.,Positive
"very professional best in web!! most updated knowladge , code is very good",Positive
very good and easy to follow learnt a lot,Positive
"very well presented and enjoyable to listen to, the summary's helped a lot and the quizzes were a good way to remember what was learnt in the lessons. Thank you",Positive
Really good and practical course. It helps you reinforce the knowledge that you got from the three previous courses.,Positive
Good course . A must take for beginners !,Positive
Very good course for does how just starting with Ableton.,Positive
Very good basic course. Enjoyed it very much,Positive
"Good Course, for folks who never took any Comp Sci courses in high school or university",Positive
The course is very well organized covering a lot of topics.,Positive
Awesome/Excellent/Outstanding !!! This course was my first step in Machine Learning en route to data science.,Positive
"The teacher makes the difficult materials easy to understand. Furthermore, the exercises help students to have good intuitions to the theories.",Positive
"Good overview of machine learning. In general focuses more on how to do, but due to course length skipped on some of the how or why in certain topics. Good mentor responses.",Positive
"After years ,the math part of the course was difficult. Anyway, good course!",Positive
"This course it's a great introduction to several topics in Machine Learning. Andrew Ng it's an excellent teacher, he makes easy to understand difficult topics and gives very practical advices.",Positive
Excellent class design and course delivery!!! I think the assignments can be more difficult and less spoon-feeding.,Positive
Really nice introduction to Machine Learning. It contains essential contents which is not difficult and also not easy.,Positive
"Overall very insightful, I learned a lot. There are some parts that are not editted right, and the instructor can explain some simple subjects very lengthy, while other more difficult subjects are skipped over very fast.",Positive
Wonderful class. I have been reading this kind of material by myself. This course is by far the greatest one that professor explains difficult concept in a super simply and straight forward way.,Positive
"Very good, complete course. It goes through a lot of different machine learning techniques, well explained. The assignments are interesting and sometimes a bit difficult but the forum is full of good tutoring and test cases which really helps to move through them. I enjoyed it very much!",Positive
"This is one of the best courses I have ever taken. The lectures are fantastic, with a great structure. The course material is presented in an extremely simple way, even the most difficult machine learning algorithms.",Positive
Great Lessons!!! Easy to understand all the difficult and challenging algorithms with vivid examples and graphs.,Positive
"This is an excellent introduction to ML. Coming from a mathematical background, I felt that at times the course was a bit slow",Positive
"the peer grading system is poor, considering that they are learning just like us. the grading should be done automatically or by a professional .",Negative
"I think this is a good review for someone who has the basic in English grammar; however, if you're an ESL student or English-speaking person (who need to start over in grammar). Study first before starting this course.",Negative
"Poor visual communications, it should be better since it is the only way to follow the course. Should be nice if the slides counted with a kind of animation to enphatize what we are talking about.",Negative
"All the modules but last are really interesting and informative. The last week's module is very poorly explained, a beginner cannot really understand it",Negative
Poorly designed and explained. You do not really gain much knowledge from this course. I would not recommend my friends and basically others to take this course,Negative
"Really poor course. Rather than starting from the basics, this course picks random information to work with. Week 1 was information anybody with a computer knows.",Negative
very poor content on Java Script. If you just started JS do not take this course. It will be too hard.,Negative
Very poorly structured. Explanation and examples were not very helpful. should revamp the course content and video lectures (specially the steganography part).,Negative
"Videos with guest speakers were unhelpful. Also, quizzes were not accurate and poorly written questions",Negative
"The Instructor doesn't give enough info about principles and her presentation skills are very week,the studying material also are very poor",Negative
"I wouldn't pay $49.00 Dlls. for this course, nor the other courses within this specialization. This one contains quite a lot of errors.",Negative
"The Instructor doesn't give enough info about principles and her presentation skills are very week,the studying material also are very poor",Negative
Poor English. Unfair assignments ((,Negative
"the quality of the lecture is poor - slides are dense and full of bullet points which the professor LITERALLY JUST READS OUT on videos. I did a google search, and found almost all of the analytical charts he presented, readily available on the internet.",Negative
"Some profs are very good, some are terrible. The terrible ones need to improve their teaching skills and even language skills.",Negative
"Poor context, no real examples. The guy just reads what is written on the slides without further explanations.",Negative
The lectures are fairly light and there are no assignments throughout the course to reinforce the material.,Negative
"An ok introduction to Swift Programming, but I can see people who do not have previous development experience struggling with this course.",Negative
"The videos are poorly done, and it's hard to follow with practicing in a Playground at the same time.",Negative
This is a great introductory programming course for anyone. It covers the basics of programming and prepares you for more advanced programming like java.,Positive
A good course to go through.,Positive
Absolutely poor. Avoid.,Negative
Poor Quality,Negative
"I'm dropping this course because it's just SO poorly conceived. Three weeks in, and I can't really articulate what I've actually learned",Negative
Very well organized course! The tutors were helpful and good lecturers. Easy to follow and understand! I particularly liked the extra interviews :),Positive
"More tooled for High Schoolers, or those just entering into college. Very good course none the less.",Positive
Unfortunately the course is not very well thought out.,Negative
"poorly planned, irrelevant to the subject test questions.",Negative
"This course was little more than a haphazard, ambling preview of a tiny bit of Swift. There was some useful content in the class but the organization was poor and there was almost no evidence of course design",Negative
"Very fun, good fundamentals and excellent examples.",Positive
Very useful for online learner.....,Positive
I especially love the detailed tips and insight into creating and maintaining a blog. The guest speakers were great.,Positive
Excellently designed course! I loved how the course content and assignments were designed and delivered,Positive
loved this!,Positive
I found the course most engaging and delivered with great enthusiasm.,Positive
"Poor video quality, weak, ad hoc examples, not well thought flow. Seems like tutors have not spent time on proper preparation.",Negative
Basically a couple of guys have an unorganized discussion about swift. Little to no organization with poor coordination between lectures and quizzes.,Negative
"Teachers poorly prepared, explanations ambiguous, it seems that they didn't pay attention to examples and sound of the course.",Negative
What I like the most in this course was the simplicity. It is designed such that complete noobs (like myself) in software engineering can understand easily.,Positive
"Simple and interesting, very good coding course for beginners.",Positive
its good to learn this subject free of cost and amazing teaching method.,Positive
It's pretty good :),Positive
Poorly prepared course.,Negative
I'm sorry but the presentations were very poor and unprepared,Negative
Poor alignment between assignments and lectures. Lots of content poorly explained.,Negative
"The course starts very promising, but it gets worse week after week, culminating on a barely understandable week about dynamic programming.",Negative
Great introduction It is a great introduction course to this fascinating field.,Positive
"Short and good, a way to learn practical python ML skills and math background to understand and feel different ML technics",Positive
Good and easy to understand.,Positive
good,Positive
Very good Instructor. Explains hard things in a very easy way. He made this course very easy to learn.,Positive
I've missed at least one practical exercises on each module. Overall is good.,Positive
A good course for understanding the fundamental terms that I often hear when discussing issues with finance professionals,Positive
So far so good!,Positive
"Good course,is very good fo me",Positive
A really good course for anyone with non financial background. Its literally taught right from the basics with very helpful examples,Positive
"Very easy to follow, as he gives easy-to-understand real life examples! Really good!",Positive
Great course. Good instructor. Everything is explained in an easy-to-understand manner.,Positive
Very good to gain basis in the financial terms and tools.,Positive
I've missed at least one practical exercises on each module. Overall is good.,Positive
"Very good , easy to understand . I have learnt a lot of concepts very important .",Positive
This is a really good Course!!!!!!! Easy to Understand!! I loved it!,Positive
Good basic course if you have no background in Finance. Reviews the important concepts that can get you along easily.,Positive
Basic stuff. Good choice of subjects. A little too short.,Positive
A very quick overview of finance. Good review of fundamentals but not a lot of depth.,Positive
Instructor is very good at explaining the topics. I like his style.,Positive
Very Good to learn the basics.,Positive
It is a good start for people always hear about terminologies in finance but never have a chance to lay out the structure of all concepts.,Positive
"VERY GOOD COURSE,,",Positive
Very easy to understand...good le,Positive
I had a very poor experience being graded by peers.,Negative
Material is excellent and very interesting. Test questions can be confusing and poorly phrased.,Negative
The name of this course is misleading to me,Negative
